user_id,signup_date,country,device_type,age_group,acquisition_channel
U000058,2026-03-12,USA,Tablet,25-34,Email
U000059,2026-02-13,India,Mobile,25-34,Organic
U000060,2026-01-08,Australia,Tablet,45-54,Organic
U000061,2026-02-16,USA,Mobile,55+,Paid Search
U000062,2026-02-04,UK,Mobile,55+,Social
U000063,2026-03-19,India,Mobile,25-34,Referral
U000064,2026-03-22,India,Mobile,25-34,Organic
U000065,2026-02-05,India,Mobile,18-24,Organic
U000066,2026-02-19,USA,Desktop,35-44,Organic
U000067,2026-01-04,India,Mobile,25-34,Organic
U000068,2026-01-02,Australia,Mobile,25-34,Referral
U000069,2026-01-06,Germany,Desktop,55+,Organic
U000070,2026-02-23,UK,Mobile,35-44,Paid Search
U000071,2026-01-04,India,Mobile,25-34,Paid Search
U000072,2026-02-23,USA,Mobile,18-24,Social
U000073,2026-03-04,Canada,Mobile,45-54,Social
U000074,2026-01-18,India,Mobile,25-34,Paid Search
U000075,2026-03-31,UK,Desktop,18-24,Email
U000076,2026-02-13,Germany,Mobile,25-34,Organic
U000077,2026-02-03,USA,Mobile,45-54,Referral
U000078,2026-03-15,USA,Mobile,25-34,Paid Search
U000079,2026-03-03,Germany,Mobile,45-54,Organic
U000080,2026-01-14,India,Tablet,18-24,Paid Search
U000081,2026-02-17,Canada,Desktop,25-34,Paid Search
U000082,2026-01-15,Canada,Desktop,35-44,Paid Search
U000083,2026-03-13,Germany,Mobile,35-44,Referral
U000084,2026-03-19,Australia,Desktop,18-24,Email
U000085,2026-03-28,Canada,Mobile,18-24,Organic
U000086,2026-03-03,UK,Mobile,25-34,Organic
U000087,2026-02-09,India,Mobile,25-34,Organic
U000088,2026-03-26,UK,Mobile,35-44,Organic
U000089,2026-03-21,India,Mobile,18-24,Email
U000090,2026-03-23,USA,Mobile,35-44,Referral
U000091,2026-02-22,UK,Desktop,18-24,Organic
U000092,2026-01-24,UK,Mobile,45-54,Social
U000093,2026-01-26,USA,Mobile,55+,Referral
U000094,2026-03-30,India,Desktop,18-24,Organic
U000095,2026-03-01,USA,Mobile,25-34,Social
U000096,2026-02-10,India,Desktop,25-34,Paid Search
U000097,2026-01-29,India,Desktop,25-34,Organic
U000098,2026-01-15,India,Desktop,55+,Organic
U000099,2026-02-14,UK,Mobile,18-24,Paid Search
U000100,2026-03-06,USA,Mobile,18-24,Paid Search
U000101,2026-03-30,USA,Mobile,25-34,Organic
U000102,2026-03-12,Germany,Desktop,35-44,Paid Search
U000103,2026-01-09,UK,Tablet,35-44,Organic
U000104,2026-03-29,USA,Mobile,25-34,Organic
U000105,2026-01-01,USA,Mobile,45-54,Organic
U000106,2026-01-08,Canada,Mobile,25-34,Email
U000107,2026-03-29,India,Desktop,18-24,Referral
U000108,2026-03-04,UK,Mobile,25-34,Organic
U000109,2026-01-11,India,Mobile,45-54,Paid Search
U000110,2026-03-22,India,Desktop,45-54,Paid Search
U000111,2026-01-08,Germany,Mobile,45-54,Organic
U000112,2026-02-04,USA,Mobile,25-34,Email
U000113,2026-02-04,India,Mobile,25-34,Email
U000114,2026-02-02,Canada,Mobile,25-34,Referral
U000115,2026-01-05,Germany,Mobile,55+,Organic
U000116,2026-02-10,India,Mobile,25-34,Organic
U000117,2026-01-28,India,Desktop,25-34,Referral
U000118,2026-01-07,Australia,Mobile,25-34,Email
U000119,2026-03-14,USA,Mobile,45-54,Referral
U000120,2026-03-13,Australia,Tablet,18-24,Email
U000121,2026-01-12,UK,Tablet,18-24,Referral
U000122,2026-02-03,USA,Mobile,25-34,Organic
U000123,2026-02-02,India,Desktop,25-34,Referral
U000124,2026-02-17,USA,Mobile,35-44,Referral
U000125,2026-01-23,Canada,Mobile,18-24,Paid Search
U000126,2026-03-03,India,Desktop,18-24,Paid Search
U000127,2026-03-29,UK,Tablet,25-34,Paid Search
U000128,2026-02-06,India,Mobile,18-24,Social
U000129,2026-02-13,USA,Mobile,45-54,Paid Search
U000130,2026-03-27,India,Mobile,35-44,Referral
U000131,2026-02-04,USA,Mobile,35-44,Referral
U000132,2026-03-06,UK,Mobile,18-24,Organic
U000133,2026-02-16,USA,Mobile,25-34,Social
U000134,2026-03-19,USA,Mobile,35-44,Organic
U000135,2026-01-03,USA,Mobile,35-44,Paid Search
U000136,2026-01-01,India,Mobile,35-44,Organic
U000137,2026-01-05,Canada,Mobile,25-34,Email
U000138,2026-03-31,Canada,Desktop,35-44,Social
U000139,2026-01-14,USA,Desktop,25-34,Organic
U000140,2026-01-27,USA,Mobile,18-24,Paid Search
U000141,2026-01-09,UK,Desktop,25-34,Social
U000142,2026-03-20,USA,Mobile,55+,Referral
U000143,2026-01-15,UK,Mobile,35-44,Organic
U000144,2026-03-31,India,Mobile,25-34,Social
U000145,2026-02-11,Canada,Tablet,35-44,Organic
U000146,2026-03-18,India,Mobile,35-44,Organic
U000147,2026-02-20,USA,Mobile,25-34,Organic
U000148,2026-03-04,India,Mobile,55+,Social
U000149,2026-02-21,Australia,Tablet,25-34,Paid Search
U000150,2026-01-04,UK,Mobile,25-34,Organic
U000151,2026-01-23,India,Mobile,25-34,Organic
U000152,2026-01-15,Australia,Mobile,25-34,Referral
U000153,2026-02-12,UK,Desktop,25-34,Organic
U000154,2026-01-29,USA,Mobile,55+,Social
U000155,2026-02-05,Germany,Mobile,55+,Organic
U000156,2026-01-13,India,Tablet,35-44,Paid Search
U000157,2026-02-01,India,Mobile,35-44,Social
U000158,2026-03-12,Canada,Mobile,25-34,Organic
U000159,2026-02-28,Canada,Mobile,25-34,Organic
U000160,2026-03-27,India,Mobile,35-44,Organic
U000161,2026-01-28,Canada,Desktop,35-44,Paid Search
U000162,2026-03-07,Canada,Mobile,25-34,Organic
U000163,2026-02-11,Germany,Mobile,25-34,Paid Search
U000164,2026-02-14,India,Mobile,25-34,Referral
U000165,2026-03-03,UK,Mobile,35-44,Referral
U000166,2026-02-26,India,Desktop,25-34,Social
U000167,2026-01-06,USA,Desktop,45-54,Paid Search
U000168,2026-01-28,India,Mobile,45-54,Paid Search
U000169,2026-01-28,USA,Desktop,25-34,Organic
U000170,2026-02-13,India,Tablet,25-34,Organic
U000171,2026-03-25,India,Mobile,45-54,Referral
U000172,2026-01-30,India,Desktop,25-34,Email
U000173,2026-03-03,USA,Desktop,25-34,Referral
U000174,2026-03-16,India,Mobile,18-24,Organic
U000175,2026-03-30,USA,Mobile,25-34,Social
U000176,2026-03-03,USA,Mobile,25-34,Paid Search
U000177,2026-01-01,India,Tablet,35-44,Organic
U000178,2026-01-27,India,Mobile,18-24,Organic
U000179,2026-03-03,Canada,Desktop,25-34,Referral
U000180,2026-03-18,UK,Mobile,35-44,Paid Search
U000181,2026-01-03,India,Mobile,45-54,Organic
U000182,2026-03-11,Germany,Mobile,18-24,Paid Search
U000183,2026-03-13,UK,Mobile,18-24,Referral
U000184,2026-01-27,India,Mobile,35-44,Paid Search
U000185,2026-01-09,Australia,Mobile,18-24,Social
U000186,2026-03-03,Australia,Mobile,55+,Paid Search
U000187,2026-02-06,USA,Desktop,55+,Social
U000188,2026-02-20,Australia,Mobile,25-34,Paid Search
U000189,2026-02-13,India,Mobile,25-34,Email
U000190,2026-01-24,Germany,Mobile,45-54,Social
U000191,2026-03-20,India,Mobile,18-24,Referral
U000192,2026-02-28,UK,Desktop,45-54,Organic
U000193,2026-02-01,India,Mobile,25-34,Social
U000194,2026-03-29,India,Desktop,18-24,Email
U000195,2026-02-21,Germany,Tablet,55+,Email
U000196,2026-03-03,India,Tablet,25-34,Social
U000197,2026-02-27,Australia,Mobile,25-34,Organic
U000198,2026-02-21,India,Mobile,45-54,Email
U000199,2026-01-12,Canada,Mobile,35-44,Paid Search
U000200,2026-02-08,India,Mobile,25-34,Paid Search
U000201,2026-01-02,USA,Mobile,18-24,Social
U000202,2026-01-03,Canada,Desktop,18-24,Organic
U000203,2026-02-25,USA,Desktop,35-44,Paid Search
U000204,2026-03-22,India,Mobile,25-34,Referral
U000205,2026-02-28,India,Desktop,25-34,Email
U000206,2026-01-02,India,Mobile,45-54,Paid Search
U000207,2026-01-02,Australia,Desktop,35-44,Email
U000208,2026-02-23,UK,Desktop,35-44,Organic
U000209,2026-03-28,USA,Mobile,45-54,Referral
U000210,2026-01-01,India,Mobile,25-34,Paid Search
U000211,2026-01-19,USA,Mobile,18-24,Social
U000212,2026-01-02,UK,Desktop,18-24,Organic
U000213,2026-02-22,India,Mobile,25-34,Social
U000214,2026-02-13,USA,Mobile,35-44,Referral
U000215,2026-03-31,India,Desktop,25-34,Social
U000216,2026-02-01,UK,Mobile,25-34,Social
U000217,2026-03-11,UK,Mobile,18-24,Referral
U000218,2026-02-01,India,Mobile,45-54,Organic
U000219,2026-03-09,India,Desktop,25-34,Email
U000220,2026-02-24,India,Desktop,35-44,Organic
U000221,2026-03-16,India,Desktop,18-24,Organic
U000222,2026-02-25,USA,Desktop,25-34,Paid Search
U000223,2026-01-17,India,Desktop,25-34,Referral
U000224,2026-02-07,USA,Mobile,45-54,Organic
U000225,2026-01-24,UK,Mobile,25-34,Social
U000226,2026-03-10,Australia,Mobile,55+,Social
U000227,2026-03-11,India,Mobile,18-24,Organic
U000228,2026-03-27,India,Desktop,18-24,Referral
U000229,2026-01-11,India,Tablet,45-54,Social
U000230,2026-01-16,USA,Mobile,45-54,Email
U000231,2026-03-14,UK,Desktop,35-44,Email
U000232,2026-02-28,UK,Mobile,18-24,Referral
U000233,2026-03-11,India,Mobile,45-54,Paid Search
U000234,2026-03-21,India,Desktop,18-24,Paid Search
U000235,2026-01-03,USA,Mobile,35-44,Social
U000236,2026-01-20,India,Desktop,45-54,Paid Search
U000237,2026-02-28,Canada,Desktop,55+,Referral
U000238,2026-02-05,India,Mobile,35-44,Referral
U000239,2026-01-19,Canada,Desktop,35-44,Paid Search
U000240,2026-03-31,India,Desktop,25-34,Referral
U000241,2026-03-08,Canada,Mobile,18-24,Organic
U000242,2026-01-19,UK,Mobile,25-34,Paid Search
U000243,2026-01-20,India,Mobile,25-34,Paid Search
U000244,2026-03-12,USA,Mobile,25-34,Social
U000245,2026-02-21,UK,Desktop,25-34,Social
U000246,2026-02-02,India,Mobile,35-44,Paid Search
U000247,2026-02-09,Australia,Mobile,35-44,Organic
U000248,2026-02-08,USA,Desktop,25-34,Email
U000249,2026-03-23,Canada,Mobile,25-34,Paid Search
U000250,2026-01-01,USA,Mobile,35-44,Paid Search
U000251,2026-01-11,USA,Mobile,18-24,Referral
U000252,2026-02-26,USA,Desktop,25-34,Social
U000253,2026-03-30,USA,Mobile,35-44,Referral
U000254,2026-02-19,Canada,Desktop,35-44,Email
U000255,2026-01-23,Australia,Mobile,18-24,Referral
U000256,2026-01-31,Australia,Desktop,55+,Organic
U000257,2026-02-11,India,Mobile,35-44,Social
U000258,2026-01-07,Canada,Desktop,25-34,Organic
U000259,2026-01-16,India,Desktop,45-54,Organic
U000260,2026-03-31,India,Tablet,25-34,Paid Search
U000261,2026-03-01,India,Mobile,35-44,Referral
U000262,2026-01-02,India,Desktop,45-54,Organic
U000263,2026-01-01,Canada,Mobile,18-24,Paid Search
U000264,2026-02-17,Canada,Tablet,55+,Organic
U000265,2026-01-12,India,Desktop,35-44,Organic
U000266,2026-03-10,India,Desktop,25-34,Organic
U000267,2026-02-06,India,Mobile,35-44,Organic
U000268,2026-02-01,USA,Mobile,25-34,Paid Search
U000269,2026-01-09,USA,Desktop,35-44,Paid Search
U000270,2026-01-19,UK,Tablet,25-34,Email
U000271,2026-02-17,Germany,Mobile,18-24,Organic
U000272,2026-03-21,USA,Mobile,25-34,Paid Search
U000273,2026-01-03,UK,Mobile,55+,Paid Search
U000274,2026-01-20,Germany,Mobile,45-54,Paid Search
U000275,2026-01-24,USA,Mobile,25-34,Organic
U000276,2026-02-23,India,Mobile,35-44,Social
U000277,2026-02-02,USA,Mobile,25-34,Referral
U000278,2026-01-24,Canada,Desktop,18-24,Organic
U000279,2026-03-16,Canada,Mobile,25-34,Referral
U000280,2026-03-13,Canada,Mobile,18-24,Organic
U000281,2026-02-05,Canada,Mobile,18-24,Referral
U000282,2026-02-07,Germany,Desktop,25-34,Email
U000283,2026-03-25,Canada,Mobile,55+,Organic
U000284,2026-03-30,Australia,Mobile,35-44,Paid Search
U000285,2026-01-25,USA,Mobile,35-44,Organic
U000286,2026-01-18,UK,Mobile,25-34,Organic
U000287,2026-03-23,Germany,Desktop,35-44,Organic
U000288,2026-03-07,Australia,Mobile,25-34,Paid Search
U000289,2026-02-23,Canada,Tablet,45-54,Email
U000290,2026-02-04,UK,Mobile,25-34,Social
U000291,2026-03-21,USA,Mobile,35-44,Organic
U000292,2026-03-02,USA,Desktop,25-34,Email
U000293,2026-02-10,India,Mobile,25-34,Social
U000294,2026-02-02,USA,Mobile,45-54,Organic
U000295,2026-03-09,India,Mobile,18-24,Paid Search
U000296,2026-02-02,Canada,Desktop,25-34,Organic
U000297,2026-01-14,Australia,Desktop,25-34,Referral
U000298,2026-01-21,India,Desktop,25-34,Organic
U000299,2026-02-17,India,Mobile,45-54,Referral
U000300,2026-01-20,Australia,Mobile,18-24,Paid Search
U000301,2026-01-08,USA,Mobile,25-34,Social
U000302,2026-01-07,USA,Mobile,25-34,Organic
U000303,2026-03-08,USA,Desktop,25-34,Organic
U000304,2026-01-17,India,Mobile,35-44,Email
U000305,2026-02-02,India,Mobile,25-34,Social
U000306,2026-02-17,Germany,Mobile,25-34,Referral
U000307,2026-03-17,Canada,Mobile,18-24,Organic
U000308,2026-02-28,India,Mobile,35-44,Referral
U000309,2026-03-27,India,Mobile,18-24,Social
U000310,2026-01-22,UK,Desktop,25-34,Organic
U000311,2026-01-30,India,Mobile,35-44,Organic
U000312,2026-02-07,India,Tablet,35-44,Organic
U000313,2026-02-20,India,Desktop,35-44,Email
U000314,2026-02-23,India,Mobile,55+,Paid Search
U000315,2026-01-08,UK,Desktop,35-44,Email
U000316,2026-01-27,Germany,Desktop,35-44,Email
U000317,2026-01-27,USA,Mobile,25-34,Organic
U000318,2026-01-21,India,Mobile,25-34,Social
U000319,2026-01-30,India,Mobile,25-34,Paid Search
U000320,2026-01-28,Germany,Tablet,25-34,Paid Search
U000321,2026-03-05,USA,Mobile,35-44,Organic
U000322,2026-03-10,USA,Mobile,18-24,Organic
U000323,2026-03-02,Australia,Desktop,18-24,Email
U000324,2026-02-17,USA,Mobile,45-54,Paid Search
U000325,2026-01-19,USA,Mobile,25-34,Referral
U000326,2026-01-04,Germany,Mobile,45-54,Referral
U000327,2026-02-04,USA,Mobile,35-44,Social
U000328,2026-03-05,USA,Tablet,18-24,Email
U000329,2026-02-18,USA,Desktop,35-44,Email
U000330,2026-01-17,Germany,Mobile,25-34,Social
U000331,2026-02-13,Germany,Desktop,18-24,Referral
U000332,2026-01-30,Canada,Tablet,25-34,Paid Search
U000333,2026-02-15,USA,Mobile,35-44,Paid Search
U000334,2026-01-06,Australia,Tablet,18-24,Social
U000335,2026-02-06,USA,Mobile,35-44,Referral
U000336,2026-01-24,UK,Desktop,25-34,Paid Search
U000337,2026-02-15,India,Mobile,25-34,Organic
U000338,2026-02-22,UK,Mobile,25-34,Organic
U000339,2026-03-01,India,Desktop,35-44,Organic
U000340,2026-03-04,Canada,Mobile,18-24,Organic
U000341,2026-03-26,USA,Mobile,35-44,Referral
U000342,2026-02-01,USA,Desktop,35-44,Paid Search
U000343,2026-03-28,Canada,Mobile,25-34,Organic
U000344,2026-02-02,USA,Mobile,25-34,Organic
U000345,2026-03-08,UK,Mobile,18-24,Organic
U000346,2026-01-18,Australia,Mobile,45-54,Referral
U000347,2026-01-25,India,Mobile,25-34,Referral
U000348,2026-02-23,USA,Mobile,25-34,Organic
U000349,2026-02-27,Germany,Mobile,25-34,Organic
U000350,2026-03-08,Canada,Mobile,35-44,Social
U000351,2026-02-15,Germany,Mobile,45-54,Organic
U000352,2026-01-24,Australia,Mobile,35-44,Organic
U000353,2026-02-01,India,Desktop,25-34,Referral
U000354,2026-02-16,India,Mobile,18-24,Paid Search
U000355,2026-03-27,India,Desktop,25-34,Referral
U000356,2026-01-23,India,Mobile,18-24,Paid Search
U000357,2026-03-07,India,Desktop,18-24,Email
U000358,2026-01-27,Germany,Mobile,35-44,Referral
U000359,2026-01-02,USA,Mobile,18-24,Social
U000360,2026-03-31,India,Tablet,25-34,Paid Search
U000361,2026-01-17,Canada,Mobile,35-44,Organic
U000362,2026-02-02,India,Mobile,45-54,Referral
U000363,2026-01-09,India,Desktop,35-44,Organic
U000364,2026-02-12,India,Desktop,25-34,Paid Search
U000365,2026-02-17,UK,Mobile,25-34,Paid Search
U000366,2026-02-08,Canada,Mobile,45-54,Organic
U000367,2026-02-11,India,Desktop,35-44,Organic
U000368,2026-01-26,USA,Desktop,18-24,Email
U000369,2026-02-19,India,Mobile,25-34,Organic
U000370,2026-01-25,India,Mobile,25-34,Social
U000371,2026-01-24,India,Desktop,18-24,Paid Search
U000372,2026-01-13,India,Desktop,18-24,Paid Search
U000373,2026-03-01,USA,Desktop,18-24,Social
U000374,2026-01-07,UK,Desktop,35-44,Social
U000375,2026-02-26,India,Desktop,55+,Email
U000376,2026-02-05,India,Desktop,25-34,Social
U000377,2026-02-14,Germany,Mobile,25-34,Organic
U000378,2026-01-20,India,Tablet,35-44,Paid Search
U000379,2026-03-06,Canada,Mobile,35-44,Organic
U000380,2026-01-08,Canada,Mobile,45-54,Social
U000381,2026-01-16,India,Mobile,45-54,Email
U000382,2026-01-14,India,Mobile,35-44,Paid Search
U000383,2026-03-17,India,Mobile,25-34,Organic
U000384,2026-03-28,USA,Mobile,25-34,Organic
U000385,2026-01-15,USA,Mobile,55+,Paid Search
U000386,2026-03-07,,Mobile,35-44,Social
U000387,2026-02-01,Canada,Mobile,25-34,Organic
U000388,2026-03-28,USA,Mobile,25-34,Organic
U000389,2026-03-04,Germany,Desktop,35-44,Organic
U000390,2026-03-27,UK,Desktop,35-44,Email
U000391,2026-02-20,India,Mobile,45-54,Paid Search
U000392,2026-01-25,USA,Desktop,25-34,Organic
U000393,2026-02-27,Canada,Desktop,18-24,Social
U000394,2026-03-04,India,Tablet,45-54,Email
U000395,2026-03-03,Canada,Desktop,18-24,Paid Search
U000396,2026-01-22,India,Desktop,18-24,Organic
U000397,2026-02-27,Germany,Desktop,25-34,Social
U000398,2026-02-27,UK,Mobile,35-44,Organic
U000399,2026-03-27,India,Mobile,25-34,Social
U000400,2026-02-18,Australia,Mobile,25-34,Organic
U000401,2026-02-21,India,Desktop,35-44,Organic
U000402,2026-02-11,USA,Mobile,25-34,Paid Search
U000403,2026-03-11,Canada,Desktop,25-34,Social
U000404,2026-01-15,Germany,Mobile,45-54,Referral
U000405,2026-02-23,India,Mobile,25-34,Organic
U000406,2026-03-01,Australia,Mobile,25-34,Paid Search
U000407,2026-01-08,India,Mobile,35-44,Paid Search
U000408,2026-02-22,India,Mobile,45-54,Social
U000409,2026-03-01,India,Mobile,35-44,Paid Search
U000410,2026-01-05,UK,Tablet,45-54,Organic
U000411,2026-03-09,India,Mobile,18-24,Email
U000412,2026-01-06,India,Desktop,55+,Organic
U000413,2026-02-16,Germany,Tablet,55+,Referral
U000414,2026-02-24,India,Mobile,18-24,Referral
U000415,2026-02-09,USA,Desktop,25-34,Organic
U000416,2026-02-21,UK,Mobile,45-54,Referral
U000417,2026-01-16,India,Mobile,25-34,Organic
U000418,2026-01-13,USA,Mobile,18-24,Email
U000419,2026-01-30,UK,Mobile,25-34,Referral
U000420,2026-01-19,UK,Desktop,18-24,Paid Search
U000421,2026-01-17,Australia,Mobile,18-24,Organic
U000422,2026-03-04,USA,Mobile,35-44,Paid Search
U000423,2026-01-19,Australia,Desktop,35-44,Organic
U000424,2026-02-27,UK,Desktop,45-54,Social
U000425,2026-02-24,USA,Desktop,18-24,Paid Search
U000426,2026-03-31,India,Mobile,35-44,Social
U000427,2026-03-31,USA,Mobile,35-44,Organic
U000428,2026-03-03,USA,Mobile,45-54,Organic
U000429,2026-01-23,Canada,Mobile,18-24,Organic
U000430,2026-01-09,UK,Desktop,35-44,Social
U000431,2026-01-12,USA,Tablet,25-34,Email
U000432,2026-01-01,USA,Desktop,25-34,Organic
U000433,2026-02-27,Canada,Desktop,25-34,Paid Search
U000434,2026-01-01,USA,Mobile,35-44,Social
U000435,2026-02-03,India,Desktop,18-24,Social
U000436,2026-02-17,Australia,Mobile,45-54,Paid Search
U000437,2026-03-30,Germany,Desktop,35-44,Organic
U000438,2026-01-01,USA,Tablet,18-24,Social
U000439,2026-01-16,Germany,Desktop,25-34,Social
U000440,2026-03-02,India,Desktop,55+,Referral
U000441,2026-03-05,India,Desktop,18-24,Paid Search
U000442,2026-03-04,USA,Mobile,55+,Social
U000443,2026-03-10,Australia,Mobile,35-44,Referral
U000444,2026-01-22,UK,Tablet,18-24,Referral
U000445,2026-03-08,India,Mobile,35-44,Social
U000446,2026-03-17,India,Tablet,25-34,Organic
U000447,2026-01-26,Canada,Mobile,25-34,Organic
U000448,2026-01-16,Australia,Mobile,45-54,Organic
U000449,2026-02-20,India,Mobile,35-44,Social
U000450,2026-03-27,USA,Desktop,25-34,Email
U000451,2026-02-26,Germany,Mobile,25-34,Paid Search
U000452,2026-01-29,USA,Mobile,25-34,Paid Search
U000453,2026-03-19,India,Mobile,25-34,Email
U000454,2026-03-10,Germany,Mobile,25-34,Social
U000455,2026-02-16,USA,Mobile,25-34,Social
U000456,2026-03-03,India,Mobile,25-34,Organic
U000457,2026-03-10,India,Desktop,35-44,Referral
U000458,2026-03-17,USA,Mobile,18-24,Organic
U000459,2026-01-16,Canada,Mobile,25-34,Social
U000460,2026-03-31,UK,Desktop,18-24,Email
U000461,2026-03-31,USA,Mobile,25-34,Email
U000462,2026-02-17,UK,Tablet,18-24,Organic
U000463,2026-03-26,USA,Mobile,25-34,Organic
U000464,2026-02-08,Canada,Mobile,18-24,Organic
U000465,2026-02-02,India,Mobile,55+,Social
U000466,2026-01-23,India,Mobile,45-54,Social
U000467,2026-01-10,Australia,Desktop,25-34,Organic
U000468,2026-03-10,India,Desktop,18-24,Organic
U000469,2026-02-03,India,Mobile,25-34,Organic
U000470,2026-02-21,India,Desktop,25-34,Social
U000471,2026-01-10,USA,Mobile,18-24,Paid Search
U000472,2026-01-19,India,Desktop,25-34,Referral
U000473,2026-02-27,USA,Mobile,25-34,Paid Search
U000474,2026-01-01,Germany,Tablet,35-44,Social
U000475,2026-03-10,Canada,Mobile,25-34,Social
U000476,2026-01-04,India,Desktop,55+,Referral
U000477,2026-01-16,India,Mobile,25-34,Organic
U000478,2026-01-24,India,Mobile,18-24,Social
U000479,2026-03-21,India,Desktop,35-44,Organic
U000480,2026-01-02,India,Mobile,35-44,Social
U000481,2026-02-01,Germany,Desktop,25-34,Referral
U000482,2026-03-25,India,Desktop,25-34,Social
U000483,2026-01-24,USA,Desktop,25-34,Referral
U000484,2026-01-12,USA,Desktop,35-44,Referral
U000485,2026-02-19,Canada,Mobile,35-44,Social
U000486,2026-02-04,Canada,Mobile,35-44,Social
U000487,2026-02-02,Germany,Desktop,18-24,Social
U000488,2026-02-02,India,Tablet,45-54,Social
U000489,2026-03-02,India,Mobile,45-54,Paid Search
U000490,2026-02-20,India,Mobile,45-54,Organic
U000491,2026-02-12,USA,Mobile,25-34,Organic
U000492,2026-01-12,Canada,Mobile,25-34,Social
U000493,2026-03-08,India,Mobile,25-34,Paid Search
U000494,2026-03-06,Canada,Mobile,25-34,Organic
U000495,2026-02-02,India,Mobile,25-34,Referral
U000496,2026-02-09,UK,Mobile,45-54,Paid Search
U000497,2026-03-15,Canada,Mobile,45-54,Referral
U000498,2026-02-12,Australia,Mobile,55+,Social
U000499,2026-02-13,USA,Desktop,25-34,Organic
U000500,2026-01-29,India,Mobile,25-34,Social
U000501,2026-01-13,Canada,Mobile,45-54,Email
U000502,2026-01-12,India,Tablet,18-24,Referral
U000503,2026-02-15,India,Desktop,25-34,Social
U000504,2026-01-02,Australia,Tablet,18-24,Organic
U000505,2026-02-04,USA,Desktop,45-54,Paid Search
U000506,2026-03-28,USA,Desktop,45-54,Organic
U000507,2026-03-22,Germany,Mobile,18-24,Referral
U000508,2026-03-31,India,Desktop,25-34,Paid Search
U000509,2026-01-08,USA,Mobile,25-34,Paid Search
U000510,2026-01-26,USA,Desktop,25-34,Referral
U000511,2026-03-15,Australia,Mobile,35-44,Organic
U000512,2026-03-31,India,Desktop,25-34,Paid Search
U000513,2026-02-03,USA,Tablet,18-24,Email
U000514,2026-01-07,USA,Tablet,18-24,Referral
U000515,2026-03-09,India,Mobile,55+,Paid Search
