transaction_id,user_id,transaction_date,amount,product_type,payment_status
T0000041,U000488,2026-02-26,445.1,Basic,Success
T0000042,U000527,2026-03-07,,Pro,Success
T0000043,U000533,2026-02-09,371.63,Basic,Success
T0000044,U000543,2026-04-09,343.37,Basic,Success
T0000045,U000549,2026-02-03,465.48,Premium,Success
T0000046,U000568,2026-03-13,361.07,Premium,Success
T0000047,U000586,2026-03-06,830.36,Pro,Success
T0000048,U000587,2026-01-19,1576.49,Pro,Success
T0000049,U000604,2026-04-23,510.27,Pro,Success
T0000050,U000613,2026-02-21,866.78,Pro,Success
T0000051,U000624,2026-03-18,1086.08,Premium,Success
T0000052,U000640,2026-02-23,657.36,Pro,Success
T0000053,U000653,2026-03-20,306.49,Pro,Success
T0000054,U000684,2026-03-18,279.19,Basic,Success
T0000055,U000690,2026-02-25,601.68,Basic,Success
T0000056,U000698,2026-01-29,1005.93,Premium,Success
T0000057,U000708,2026-02-14,234.02,Basic,Success
T0000058,U000709,2026-03-24,311.2,Basic,Success
T0000059,U000711,2026-04-24,1525.09,Premium,Success
T0000060,U000731,2026-04-11,1213.96,Basic,Success
T0000061,U000745,2026-03-26,431.65,Premium,Success
T0000062,U000753,2026-03-29,251.67,Basic,Success
T0000063,U000771,2026-02-12,1273.43,Basic,Success
T0000064,U000791,2026-04-01,310.05,Pro,Success
T0000065,U000795,2026-03-04,706.51,Pro,Success
T0000066,U000807,2026-01-08,298.93,Pro,Success
T0000067,U000809,2026-02-18,974.38,Basic,Success
T0000068,U000842,2026-03-26,766.21,Basic,Success
T0000069,U000876,2026-02-22,516.9,Basic,Success
T0000070,U000886,2026-02-18,335.91,Pro,Success
T0000071,U000887,2026-04-02,1690.48,Basic,Success
T0000072,U000899,2026-03-13,228.65,Basic,Success
T0000073,U000919,2026-01-18,544.6,Basic,Success
T0000074,U000923,2026-02-06,515.87,Basic,Success
T0000075,U000925,2026-03-17,432.67,Basic,Success
T0000076,U000942,2026-01-21,866.03,Basic,Success
T0000077,U000943,2026-03-29,823.76,Premium,Success
T0000078,U000946,2026-02-12,313.08,Premium,Success
T0000079,U000963,2026-02-08,2406.05,Pro,Success
T0000080,U000965,2026-01-29,568.88,Basic,Success
T0000081,U000992,2026-03-30,482.3,Premium,Success
T0000082,U001003,2026-03-16,766.79,Basic,Success
T0000083,U001005,2026-03-05,132.33,Pro,Success
T0000084,U001018,2026-02-28,583.21,Basic,Success
T0000085,U001046,2026-02-27,208.58,Basic,Success
T0000086,U001050,2026-02-26,1138.07,Basic,Success
T0000087,U001052,2026-02-09,878.53,Basic,Success
T0000088,U001057,2026-03-31,703.95,Basic,Success
T0000089,U001069,2026-02-20,1043.75,Pro,Failed
T0000090,U001100,2026-04-15,368.34,Basic,Success
T0000091,U001108,2026-02-11,788.35,Basic,Success
T0000092,U001114,2026-03-02,570.58,Basic,Success
T0000093,U001118,2026-01-07,1315.6,Pro,Failed
T0000094,U001121,2026-04-28,485.6,Premium,Success
T0000095,U001123,2026-03-06,766.38,Premium,Success
T0000096,U001126,2026-01-19,669.68,Basic,Success
T0000097,U001180,2026-03-04,410.03,Pro,Success
T0000098,U001182,2026-01-20,1054.86,Basic,Success
T0000099,U001193,2026-03-13,668.32,Premium,Success
T0000100,U001242,2026-03-07,1678.04,Pro,Success
T0000101,U001244,2026-04-04,1444.41,Basic,Success
T0000102,U001250,2026-04-13,897.1,Premium,Success
T0000103,U001264,2026-04-05,441.48,Pro,Success
T0000104,U001282,2026-02-06,217.57,Premium,Success
T0000105,U001306,2026-02-15,356.96,Basic,Success
T0000106,U001330,2026-03-16,304.9,Premium,Success
T0000107,U001383,2026-03-18,764.19,Premium,Success
T0000108,U001385,2026-03-13,892.07,Pro,Success
T0000109,U001393,2026-02-10,396.53,Pro,Success
T0000110,U001399,2026-02-10,639.73,Pro,Success
T0000111,U001414,2026-02-13,761.77,Basic,Success
T0000112,U001418,2026-02-11,172.46,Basic,Success
T0000113,U001419,2026-03-24,955.06,Premium,Success
T0000114,U001422,2026-03-01,101.28,Basic,Success
T0000115,U001424,2026-03-23,699.63,Pro,Success
T0000116,U001449,2026-04-20,440.69,Basic,Success
T0000117,U001450,2026-02-23,191.8,Basic,Failed
T0000118,U001460,2026-02-06,695.21,Pro,Success
T0000119,U001476,2026-03-07,170.03,Basic,Success
T0000120,U001478,2026-02-23,655.24,Pro,Success
T0000121,U001483,2026-03-06,1352.33,Premium,Success
T0000122,U001488,2026-03-14,1043.7,Basic,Success
T0000123,U001520,2026-04-16,824.96,Basic,Success
T0000124,U001525,2026-01-13,467.84,Premium,Failed
T0000125,U001527,2026-02-19,1990.16,Basic,Success
T0000126,U001535,2026-04-22,440.58,Basic,Success
T0000127,U001546,2026-01-26,225.7,Basic,Success
T0000128,U001562,2026-04-05,259.09,Pro,Success
T0000129,U001563,2026-04-19,697.5,Pro,Success
T0000130,U001566,2026-01-30,462.74,Basic,Success
T0000131,U001592,2026-03-27,369.39,Premium,Success
T0000132,U001595,2026-03-27,1840.31,Pro,Success
T0000133,U001651,2026-01-30,300.38,Pro,Success
T0000134,U001665,2026-02-21,252.8,Pro,Success
T0000135,U001672,2026-01-19,797.1,Basic,Success
T0000136,U001684,2026-02-12,614.45,Basic,Success
T0000137,U001698,2026-03-25,205.2,Basic,Success
T0000138,U001702,2026-02-27,587.06,Pro,Success
T0000139,U001717,2026-02-11,426.81,Pro,Success
T0000140,U001729,2026-04-12,360.38,Basic,Success
T0000141,U001736,2026-03-21,404.02,Basic,Success
T0000142,U001756,2026-03-31,400.29,Pro,Success
T0000143,U001757,2026-03-29,949.37,Basic,Success
T0000144,U001773,2026-01-22,944.43,Basic,Success
T0000145,U001792,2026-02-09,585.81,Premium,Success
T0000146,U001803,2026-02-08,767.41,Pro,Success
T0000147,U001809,2026-01-27,340.5,Basic,Success
T0000148,U001810,2026-03-12,371.34,Basic,Success
T0000149,U001818,2026-04-11,703.11,Basic,Success
T0000150,U001821,2026-04-09,360.8,Premium,Success
T0000151,U001827,2026-03-15,660.6,Premium,Success
T0000152,U001879,2026-03-19,590.18,Basic,Failed
T0000153,U001896,2026-01-09,1456.52,Pro,Success
T0000154,U001912,2026-04-10,280.25,Pro,Success
T0000155,U001925,2026-02-02,482.63,Pro,Success
T0000156,U001933,2026-04-01,1190.07,Basic,Success
T0000157,U001935,2026-02-12,883.06,Basic,Success
T0000158,U001945,2026-04-08,270.29,Premium,Success
T0000159,U001957,2026-04-12,262.35,Basic,Success
T0000160,U001961,2026-04-01,622.04,Pro,Success
T0000161,U001963,2026-03-18,581.41,Basic,Success
T0000162,U001973,2026-03-17,1021.65,Basic,Success
T0000163,U001977,2026-02-09,633.96,Basic,Success
T0000164,U001985,2026-03-27,1344.54,Pro,Success
T0000165,U001988,2026-03-06,913.1,Basic,Success
T0000166,U002000,2026-02-21,650.43,Pro,Success
T0000167,U002003,2026-02-02,1841.25,Premium,Success
T0000168,U002015,2026-03-14,482.35,Basic,Success
T0000169,U002019,2026-04-26,999.31,Basic,Success
T0000170,U002025,2026-02-13,146.57,Basic,Success
T0000171,U002084,2026-02-22,679.41,Basic,Success
T0000172,U002089,2026-03-29,385.7,Basic,Success
T0000173,U002094,2026-02-02,681.87,Pro,Success
T0000174,U002102,2026-01-31,686.76,Premium,Success
T0000175,U002105,2026-01-14,206.67,Pro,Success
T0000176,U002119,2026-03-24,295.86,Pro,Success
T0000177,U002134,2026-03-14,1060.32,Premium,Success
T0000178,U002139,2026-02-24,893.28,Basic,Success
T0000179,U002163,2026-03-09,185.52,Basic,Success
T0000180,U002167,2026-01-11,838.93,Basic,Success
T0000181,U002168,2026-03-20,343.26,Basic,Success
T0000182,U002172,2026-03-07,827.02,Pro,Success
T0000183,U002194,2026-03-22,694.62,Pro,Success
T0000184,U002212,2026-02-06,252.22,Basic,Success
T0000185,U002219,2026-04-08,1162.43,Basic,Success
T0000186,U002235,2026-03-22,429.55,Basic,Failed
T0000187,U002238,2026-03-14,533.46,Basic,Success
T0000188,U002259,2026-03-02,622.71,Pro,Success
T0000189,U002277,2026-02-25,466.63,Pro,Success
T0000190,U002279,2026-01-27,477.49,Basic,Success
T0000191,U002294,2026-01-27,677.91,Basic,Success
T0000192,U002299,2026-01-25,880.19,Premium,Success
T0000193,U002302,2026-02-07,250.1,Pro,Success
T0000194,U002305,2026-03-30,321.32,Pro,Success
T0000195,U002310,2026-02-17,1204.75,Basic,Success
T0000196,U002327,2026-04-03,296.26,Basic,Success
T0000197,U002329,2026-03-22,513.78,Pro,Success
T0000198,U002334,2026-03-14,675.45,Premium,Success
T0000199,U002344,2026-02-21,811.84,Pro,Success
T0000200,U002360,2026-01-31,935.54,Pro,Success
T0000201,U002362,2026-03-04,700.12,Basic,Success
T0000202,U002389,2026-03-29,717.8,Basic,Success
T0000203,U002440,2026-03-03,581.01,Pro,Success
T0000204,U002445,2026-03-11,601.09,Basic,Success
T0000205,U002450,2026-03-17,252.21,Premium,Success
T0000206,U002478,2026-02-03,1204.65,Pro,Success
T0000207,U002511,2026-04-03,174.33,Premium,Success
T0000208,U002527,2026-03-23,312.71,Basic,Success
T0000209,U002537,2026-01-27,392.24,Premium,Success
T0000210,U002546,2026-02-26,503.31,Basic,Success
T0000211,U002556,2026-01-17,1025.18,Pro,Success
T0000212,U002561,2026-03-12,439.56,Basic,Success
T0000213,U002563,2026-03-07,502.69,Basic,Success
T0000214,U002574,2026-01-09,567.7,Pro,Success
T0000215,U002583,2026-02-08,1144.84,Basic,Success
T0000216,U002601,2026-02-20,693.86,Pro,Success
T0000217,U002616,2026-02-21,834.0,Basic,Success
T0000218,U002628,2026-03-06,165.1,Basic,Failed
T0000219,U002629,2026-04-19,438.86,Basic,Success
T0000220,U002642,2026-02-15,1828.31,Basic,Success
T0000221,U002647,2026-01-28,724.69,Basic,Success
T0000222,U002668,2026-04-23,369.25,Basic,Success
T0000223,U002694,2026-04-10,854.41,Basic,Success
T0000224,U002699,2026-03-05,594.33,Basic,Success
T0000225,U002709,2026-03-22,235.95,Pro,Success
T0000226,U002710,2026-03-15,676.82,Pro,Success
T0000227,U002723,2026-04-07,728.77,Basic,Success
T0000228,U002734,2026-03-20,222.69,Basic,Success
T0000229,U002746,2026-02-09,345.33,Pro,Success
T0000230,U002750,2026-02-19,559.02,Pro,Success
T0000231,U002768,2026-02-28,804.73,Pro,Success
T0000232,U002774,2026-03-18,800.37,Basic,Success
T0000233,U002775,2026-02-12,635.73,Basic,Success
T0000234,U002777,2026-03-20,476.71,Pro,Success
T0000235,U002785,2026-02-21,627.76,Premium,Success
T0000236,U002802,2026-02-05,812.63,Basic,Success
T0000237,U002806,2026-03-05,404.58,Premium,Success
T0000238,U002826,2026-01-25,290.72,Pro,Success
T0000239,U002840,2026-02-10,582.02,Pro,Success
T0000240,U002855,2026-04-16,555.01,Pro,Success
T0000241,U002863,2026-04-11,1336.63,Pro,Success
T0000242,U002879,2026-03-23,1037.59,Basic,Success
T0000243,U002884,2026-02-16,970.65,Premium,Success
T0000244,U002886,2026-03-14,384.32,Premium,Success
T0000245,U002890,2026-02-22,219.55,Pro,Success
T0000246,U002903,2026-02-17,219.19,Basic,Success
T0000247,U002921,2026-04-02,829.11,Basic,Success
T0000248,U002925,2026-02-16,556.58,Basic,Success
T0000249,U002951,2026-04-12,1391.12,Basic,Failed
T0000250,U002958,2026-02-05,494.87,Basic,Success
T0000251,U002962,2026-02-16,1059.23,Basic,Failed
T0000252,U002970,2026-04-03,655.51,Pro,Success
T0000253,U002993,2026-02-11,338.21,Premium,Failed
T0000254,U003001,2026-03-27,1062.62,Pro,Success
T0000255,U003004,2026-01-27,1326.03,Basic,Success
T0000256,U003019,2026-02-25,586.85,Basic,Failed
T0000257,U003020,2026-03-31,951.23,Basic,Success
T0000258,U003034,2026-01-31,557.22,Pro,Success
T0000259,U003051,2026-01-06,662.94,Basic,Success
T0000260,U003069,2026-01-20,1219.35,Pro,Success
T0000261,U003096,2026-04-23,521.14,Basic,Success
T0000262,U003102,2026-02-11,595.49,Pro,Success
T0000263,U003106,2026-03-30,327.56,Pro,Success
T0000264,U003152,2026-03-15,230.23,Pro,Success
T0000265,U003193,2026-03-19,206.6,Basic,Success
T0000266,U003198,2026-03-16,1195.19,Basic,Success
T0000267,U003207,2026-01-21,846.27,Pro,Success
T0000268,U003216,2026-02-11,303.57,Basic,Success
T0000269,U003217,2026-02-21,556.73,Basic,Success
T0000270,U003237,2026-01-27,844.24,Premium,Success
T0000271,U003241,2026-02-16,493.99,Pro,Success
T0000272,U003242,2026-02-14,1141.09,Premium,Success
T0000273,U003246,2026-03-27,488.36,Basic,Success
T0000274,U003247,2026-02-27,1660.77,Premium,Success
T0000275,U003270,2026-04-12,972.6,Basic,Success
T0000276,U003272,2026-01-22,647.89,Pro,Success
T0000277,U003277,2026-03-14,811.59,Basic,Success
T0000278,U003284,2026-03-11,244.39,Premium,Success
T0000279,U003305,2026-01-13,284.2,Basic,Success
T0000280,U003314,2026-03-18,644.89,Basic,Success
T0000281,U003328,2026-03-10,253.5,Basic,Success
T0000282,U003480,2026-02-10,481.55,Basic,Success
T0000283,U003483,2026-02-11,656.32,Pro,Success
T0000284,U003498,2026-02-24,1351.08,Basic,Success
T0000285,U003502,2026-02-26,215.59,Pro,Success
T0000286,U003506,2026-03-12,673.04,Pro,Success
T0000287,U003517,2026-04-07,1166.5,Pro,Success
T0000288,U003528,2026-04-08,384.65,Basic,Success
T0000289,U003536,2026-03-25,453.48,Pro,Success
T0000290,U003540,2026-03-10,749.37,Basic,Success
T0000291,U003553,2026-02-28,159.17,Pro,Success
T0000292,U003565,2026-01-17,380.13,Basic,Success
T0000293,U003567,2026-03-22,1628.46,Pro,Success
T0000294,U003583,2026-01-27,555.77,Basic,Success
T0000295,U003599,2026-03-19,370.06,Basic,Success
T0000296,U003600,2026-04-16,704.75,Pro,Success
T0000297,U003608,2026-04-01,610.59,Pro,Success
T0000298,U003615,2026-01-20,1227.65,Basic,Success
T0000299,U003635,2026-03-19,1010.24,Premium,Success
T0000300,U003656,2026-04-06,432.32,Pro,Success
T0000301,U003664,2026-02-10,758.76,Basic,Success
T0000302,U003673,2026-03-10,336.65,Basic,Success
T0000303,U003681,2026-03-25,475.07,Pro,Success
T0000304,U003691,2026-02-12,1145.11,Basic,Success
T0000305,U003701,2026-04-22,425.63,Premium,Success
T0000306,U003731,2026-02-22,872.6,Basic,Success
T0000307,U003734,2026-02-02,1009.92,Basic,Success
T0000308,U003753,2026-01-31,193.48,Premium,Success
T0000309,U003763,2026-02-04,924.2,Pro,Success
T0000310,U003775,2026-03-03,422.86,Pro,Success
T0000311,U003785,2026-03-25,917.17,Basic,Success
T0000312,U003798,2026-03-25,357.84,Pro,Failed
T0000313,U003810,2026-03-10,181.7,Pro,Success
T0000314,U003813,2026-02-28,1052.29,Basic,Success
T0000315,U003827,2026-04-13,1388.94,Basic,Success
T0000316,U003852,2026-02-03,196.22,Premium,Success
T0000317,U003862,2026-01-27,450.5,Pro,Success
T0000318,U003863,2026-03-24,895.52,Pro,Success
T0000319,U003866,2026-03-10,1239.32,Pro,Success
T0000320,U003877,2026-02-16,1224.78,Basic,Success
T0000321,U003882,2026-02-24,1729.22,Basic,Success
T0000322,U003916,2026-01-12,913.62,Basic,Success
T0000323,U003927,2026-02-27,851.03,Pro,Success
T0000324,U003928,2026-01-22,404.08,Basic,Success
T0000325,U003932,2026-04-01,667.03,Premium,Success
T0000326,U003946,2026-01-15,695.2,Basic,Success
T0000327,U003968,2026-03-03,1029.77,Pro,Success
T0000328,U003969,2026-03-31,559.79,Basic,Success
T0000329,U003973,2026-03-03,580.44,Basic,Success
T0000330,U003979,2026-03-27,409.73,Pro,Success
T0000331,U003981,2026-02-15,825.4,Premium,Success
T0000332,U004012,2026-02-06,770.68,Basic,Success
T0000333,U004028,2026-02-07,460.29,Pro,Success
T0000334,U004054,2026-03-14,545.06,Basic,Failed
T0000335,U004061,2026-02-23,,Basic,Success
T0000336,U004067,2026-03-14,1019.66,Pro,Success
T0000337,U004083,2026-02-13,499.97,Basic,Success
T0000338,U004101,2026-02-04,1152.61,Pro,Success
T0000339,U004104,2026-02-07,1112.82,Premium,Success
T0000340,U004123,2026-02-17,1887.1,Basic,Success
T0000341,U004155,2026-04-07,735.99,Basic,Success
T0000342,U004161,2026-03-24,1519.73,Pro,Success
T0000343,U004162,2026-03-05,854.56,Pro,Success
T0000344,U004171,2026-02-08,339.43,Basic,Success
T0000345,U004179,2026-03-13,397.2,Pro,Success
T0000346,U004190,2026-02-27,310.5,Basic,Success
T0000347,U004217,2026-03-01,889.72,Basic,Success
T0000348,U004221,2026-03-12,79.5,Basic,Success
T0000349,U004232,2026-01-11,83.83,Premium,Success
T0000350,U004238,2026-03-11,945.28,Pro,Failed
T0000351,U004247,2026-02-12,1233.45,Premium,Success
T0000352,U004250,2026-01-29,682.69,Premium,Success
T0000353,U004252,2026-03-14,493.85,Basic,Success
T0000354,U004258,2026-01-29,841.34,Basic,Success
T0000355,U004284,2026-03-09,1444.45,Pro,Success
T0000356,U004317,2026-04-14,728.04,Pro,Success
T0000357,U004326,2026-02-13,411.07,Basic,Success
T0000358,U004328,2026-03-09,583.56,Premium,Success
T0000359,U004376,2026-02-10,931.15,Pro,Success
T0000360,U004382,2026-04-08,362.85,Basic,Success
T0000361,U004418,2026-03-13,568.88,Basic,Success
T0000362,U004435,2026-03-09,781.85,Basic,Success
T0000363,U004450,2026-01-10,601.48,Basic,Success
T0000364,U004453,2026-04-06,613.66,Basic,Success
T0000365,U004455,2026-04-04,1143.71,Premium,Success
T0000366,U004468,2026-03-30,985.02,Basic,Success
T0000367,U004472,2026-04-06,324.2,Pro,Success
T0000368,U004488,2026-04-19,285.5,Basic,Success
T0000369,U004509,2026-03-03,673.75,Pro,Failed
T0000370,U004517,2026-03-21,907.64,Basic,Success
T0000371,U004519,2026-04-06,329.2,Basic,Success
T0000372,U004538,2026-03-02,1189.21,Basic,Success
T0000373,U004554,2026-02-07,1112.82,Basic,Success
T0000374,U004556,2026-02-09,587.59,Basic,Success
T0000375,U004558,2026-01-28,1792.08,Premium,Success
T0000376,U004565,2026-03-06,584.42,Pro,Success
T0000377,U004572,2026-03-17,98.87,Basic,Success
T0000378,U004580,2026-03-29,564.27,Pro,Success
T0000379,U004613,2026-02-21,541.21,Pro,Failed
T0000380,U004614,2026-04-02,481.47,Basic,Success
T0000381,U004652,2026-03-19,972.97,Pro,Success
T0000382,U004685,2026-01-26,838.74,Basic,Success
T0000383,U004687,2026-02-19,329.9,Pro,Success
T0000384,U004703,2026-02-08,1192.76,Premium,Success
T0000385,U004708,2026-03-24,1241.92,Premium,Success
T0000386,U004722,2026-03-10,253.31,Pro,Failed
T0000387,U004728,2026-03-28,283.56,Basic,Success
T0000388,U004729,2026-03-05,247.01,Basic,Success
T0000389,U004748,2026-03-21,897.74,Pro,Success
T0000390,U004778,2026-01-13,941.06,Premium,Success
T0000391,U004790,2026-04-13,1283.0,Basic,Success
T0000392,U004794,2026-02-07,327.97,Basic,Failed
T0000393,U004799,2026-01-25,551.28,Pro,Success
T0000394,U004826,2026-02-17,1094.01,Pro,Success
T0000395,U004844,2026-02-23,929.77,Basic,Success
T0000396,U004846,2026-01-30,662.27,Basic,Success
T0000397,U004860,2026-03-26,1234.88,Premium,Success
T0000398,U004884,2026-04-26,878.7,Premium,Success
T0000399,U004896,2026-02-10,583.55,Basic,Success
T0000400,U004900,2026-01-13,995.84,Pro,Success
T0000401,U004922,2026-04-05,951.34,Pro,Success
T0000402,U004923,2026-02-23,378.11,Basic,Success
T0000403,U004925,2026-04-06,422.04,Premium,Success
T0000404,U004930,2026-01-11,1118.78,Premium,Success
T0000405,U004956,2026-02-18,914.43,Basic,Success
T0000406,U004962,2026-03-04,885.45,Basic,Success
T0000407,U004964,2026-03-08,967.11,Basic,Success
T0000408,U005023,2026-03-10,379.52,Premium,Success
T0000409,U005029,2026-02-01,800.86,Basic,Success
T0000410,U005047,2026-02-21,740.51,Pro,Success
T0000411,U005054,2026-01-23,694.38,Premium,Success
T0000412,U005059,2026-04-19,996.22,Pro,Success
T0000413,U005064,2026-03-29,919.52,Premium,Success
T0000414,U005067,2026-04-27,416.26,Basic,Success
T0000415,U005075,2026-03-01,422.07,Basic,Success
T0000416,U005079,2026-03-06,696.15,Basic,Success
T0000417,U005098,2026-03-04,454.27,Pro,Success
T0000418,U005107,2026-04-11,116.08,Pro,Success
T0000419,U005108,2026-01-30,1166.41,Basic,Success
T0000420,U005113,2026-03-11,305.51,Pro,Success
T0000421,U005114,2026-02-07,1457.22,Basic,Success
T0000422,U005124,2026-03-05,316.51,Basic,Success
T0000423,U005127,2026-02-25,130.32,Basic,Success
T0000424,U005148,2026-02-12,176.77,Pro,Success
T0000425,U005165,2026-03-14,283.67,Pro,Success
T0000426,U005175,2026-03-03,222.02,Basic,Success
T0000427,U005186,2026-02-14,323.76,Premium,Success
T0000428,U005187,2026-02-18,475.86,Basic,Success
T0000429,U005189,2026-04-01,600.1,Pro,Failed
T0000430,U005217,2026-03-18,1367.1,Pro,Success
T0000431,U005224,2026-02-04,1119.66,Pro,Success
T0000432,U005233,2026-02-22,837.53,Basic,Success
T0000433,U005254,2026-02-09,711.2,Basic,Success
T0000434,U005259,2026-01-29,181.13,Basic,Success
T0000435,U005263,2026-04-09,940.27,Basic,Success
T0000436,U005272,2026-03-05,661.09,Basic,Success
T0000437,U005279,2026-04-23,838.98,Basic,Success
T0000438,U005283,2026-04-09,291.89,Pro,Success
T0000439,U005287,2026-03-13,615.54,Pro,Success
T0000440,U005295,2026-04-21,717.38,Pro,Success
T0000441,U005296,2026-03-10,241.32,Premium,Success
T0000442,U005299,2026-03-12,1107.61,Pro,Success
T0000443,U005301,2026-02-01,109.83,Pro,Success
T0000444,U005311,2026-04-21,978.97,Premium,Success
T0000445,U005332,2026-03-08,412.59,Pro,Success
T0000446,U005338,2026-03-13,518.93,Basic,Success
T0000447,U005339,2026-03-01,582.17,Pro,Success
T0000448,U005377,2026-03-08,639.63,Basic,Success
T0000449,U005391,2026-03-26,721.98,Basic,Success
T0000450,U005394,2026-02-01,1251.38,Basic,Success
T0000451,U005436,2026-02-03,1154.12,Pro,Success
T0000452,U005471,2026-01-13,501.99,Pro,Success
T0000453,U005480,2026-03-15,263.83,Premium,Success
T0000454,U005484,2026-03-13,348.13,Basic,Success
T0000455,U005489,2026-01-18,883.63,Pro,Success
T0000456,U005501,2026-03-08,135.96,Basic,Success
T0000457,U005503,2026-01-21,285.08,Basic,Success
T0000458,U005525,2026-01-27,276.88,Premium,Success
T0000459,U005530,2026-03-29,139.71,Pro,Success
T0000460,U005552,2026-03-06,445.54,Pro,Success
T0000461,U005553,2026-02-06,817.09,Pro,Failed
T0000462,U005555,2026-03-16,403.04,Basic,Success
T0000463,U005556,2026-03-20,1271.22,Basic,Success
T0000464,U005569,2026-03-25,316.36,Basic,Success
T0000465,U005575,2026-04-01,261.82,Pro,Success
T0000466,U005580,2026-01-30,386.33,Pro,Success
T0000467,U005582,2026-04-14,1011.64,Pro,Failed
T0000468,U005584,2026-01-18,723.1,Premium,Success
T0000469,U005594,2026-03-03,270.98,Basic,Success
T0000470,U005601,2026-02-14,662.63,Basic,Success
T0000471,U005615,2026-02-21,1083.4,Premium,Success
T0000472,U005625,2026-02-16,1070.31,Pro,Success
T0000473,U005641,2026-02-15,1375.31,Basic,Success
T0000474,U005653,2026-03-23,288.36,Basic,Success
T0000475,U005675,2026-03-21,727.9,Basic,Success
T0000476,U005692,2026-04-25,911.03,Basic,Success
T0000477,U005711,2026-02-26,558.1,Pro,Success
T0000478,U005741,2026-03-26,920.21,Basic,Success
T0000479,U005748,2026-04-02,1003.41,Basic,Success
T0000480,U005751,2026-04-06,1431.76,Pro,Failed
T0000481,U005760,2026-02-11,625.26,Pro,Success
T0000482,U005766,2026-01-21,371.16,Basic,Success
T0000483,U005770,2026-03-19,614.34,Basic,Success
T0000484,U005781,2026-03-30,389.95,Basic,Success
T0000485,U005806,2026-03-18,359.2,Basic,Success
T0000486,U005812,2026-02-13,323.17,Pro,Success
T0000487,U005816,2026-01-27,403.67,Pro,Success
T0000488,U005853,2026-01-22,1074.52,Basic,Success
T0000489,U005873,2026-03-01,1092.16,Pro,Success
T0000490,U005878,2026-04-22,392.35,Basic,Success
T0000491,U005882,2026-03-17,1101.03,Pro,Success
T0000492,U005888,2026-04-02,307.35,Basic,Success
T0000493,U005904,2026-02-24,255.11,Basic,Success
T0000494,U005908,2026-03-04,298.57,Basic,Success
T0000495,U005915,2026-03-15,700.47,Basic,Success
T0000496,U005919,2026-03-22,476.39,Pro,Success
T0000497,U005925,2026-03-03,495.56,Basic,Success
T0000498,U005927,2026-02-03,548.73,Basic,Success
T0000499,U005930,2026-03-25,866.62,Premium,Success
T0000500,U005953,2026-03-20,538.08,Pro,Success
T0000501,U005964,2026-03-18,437.74,Basic,Success
T0000502,U005975,2026-04-12,308.4,Basic,Success
T0000503,U006001,2026-04-24,467.92,Basic,Success
T0000504,U006002,2026-03-11,300.38,Pro,Success
T0000505,U006008,2026-04-02,704.69,Pro,Success
T0000506,U006016,2026-01-23,610.66,Basic,Success
T0000507,U006035,2026-04-10,375.52,Premium,Success
T0000508,U006048,2026-02-22,675.66,Pro,Failed
T0000509,U006055,2026-02-13,777.97,Premium,Success
T0000510,U006061,2026-03-05,366.83,Pro,Success
T0000511,U006062,2026-02-28,376.77,Premium,Success
T0000512,U006089,2026-03-10,1265.54,Premium,Success
