user_id,experiment_name,experiment_group,assignment_date,variant_version
U000282,onboarding_v2,Treatment,2026-02-07,v2
U000283,onboarding_v2,Treatment,2026-03-25,v2
U000284,onboarding_v2,Control,2026-03-30,v1
U000285,onboarding_v2,Treatment,2026-01-25,v2
U000286,onboarding_v2,Treatment,2026-01-18,v2
U000287,onboarding_v2,Treatment,2026-03-23,v2
U000288,onboarding_v2,Treatment,2026-03-07,v2
U000289,onboarding_v2,Treatment,2026-02-23,v2
U000290,onboarding_v2,Control,2026-02-04,v1
U000291,onboarding_v2,Control,2026-03-21,v1
U000292,onboarding_v2,Treatment,2026-03-02,v2
U000293,onboarding_v2,Treatment,2026-02-10,v2
U000294,onboarding_v2,Control,2026-02-02,v1
U000295,onboarding_v2,Treatment,2026-03-09,v2
U000296,onboarding_v2,Treatment,2026-02-02,v2
U000297,onboarding_v2,Control,2026-01-14,v1
U000298,onboarding_v2,Treatment,2026-01-21,v2
U000299,onboarding_v2,Treatment,2026-02-17,v2
U000300,onboarding_v2,Control,2026-01-20,v1
U000301,onboarding_v2,Control,2026-01-08,v1
U000302,onboarding_v2,Treatment,2026-01-07,v2
U000303,onboarding_v2,Treatment,2026-03-08,v2
U000304,onboarding_v2,Control,2026-01-17,v1
U000305,onboarding_v2,Treatment,2026-02-02,v2
U000306,onboarding_v2,Treatment,2026-02-17,v2
U000307,onboarding_v2,Treatment,2026-03-17,v2
U000308,onboarding_v2,Control,2026-02-28,v1
U000309,onboarding_v2,Treatment,2026-03-27,v2
U000310,onboarding_v2,Control,2026-01-22,v1
U000311,onboarding_v2,Treatment,2026-01-30,v2
U000312,onboarding_v2,Control,2026-02-07,v1
U000313,onboarding_v2,Control,2026-02-20,v1
U000314,onboarding_v2,Control,2026-02-23,v1
U000315,onboarding_v2,Control,2026-01-08,v1
U000316,onboarding_v2,Treatment,2026-01-27,v2
U000317,onboarding_v2,Control,2026-01-27,v1
U000318,onboarding_v2,Treatment,2026-01-21,v2
U000319,onboarding_v2,Treatment,2026-01-30,v2
U000320,onboarding_v2,Treatment,2026-01-28,v2
U000321,onboarding_v2,Control,2026-03-05,v1
U000322,onboarding_v2,Control,2026-03-10,v1
U000323,onboarding_v2,Treatment,2026-03-02,v2
U000324,onboarding_v2,Control,2026-02-17,v1
U000325,onboarding_v2,Treatment,2026-01-19,v2
U000326,onboarding_v2,Control,2026-01-04,v1
U000327,onboarding_v2,Treatment,2026-02-04,v2
U000328,onboarding_v2,Control,2026-03-05,v1
U000329,onboarding_v2,Control,2026-02-18,v1
U000330,onboarding_v2,Treatment,2026-01-17,v2
U000331,onboarding_v2,Treatment,2026-02-13,v2
U000332,onboarding_v2,Control,2026-01-30,v1
U000333,onboarding_v2,Treatment,2026-02-15,v2
U000334,onboarding_v2,Control,2026-01-06,v1
U000335,onboarding_v2,Treatment,2026-02-06,v2
U000336,onboarding_v2,Control,2026-01-24,v1
U000337,onboarding_v2,Treatment,2026-02-15,v2
U000338,onboarding_v2,Treatment,2026-02-22,v2
U000339,onboarding_v2,Treatment,2026-03-02,v2
U000340,onboarding_v2,Treatment,2026-03-04,v2
U000341,onboarding_v2,Control,2026-03-26,v1
U000342,onboarding_v2,Treatment,2026-02-01,v2
U000343,onboarding_v2,Control,2026-03-28,v1
U000344,onboarding_v2,Control,2026-02-02,v1
U000345,onboarding_v2,Treatment,2026-03-08,v2
U000346,onboarding_v2,Control,2026-01-18,v1
U000347,onboarding_v2,Control,2026-01-25,v1
U000348,onboarding_v2,Treatment,2026-02-23,v2
U000349,onboarding_v2,Treatment,2026-02-27,v2
U000350,onboarding_v2,Treatment,2026-03-08,v2
U000351,onboarding_v2,Treatment,2026-02-16,v2
U000352,onboarding_v2,Control,2026-01-25,v1
U000353,onboarding_v2,Treatment,2026-02-01,v2
U000354,onboarding_v2,Control,2026-02-16,v1
U000355,onboarding_v2,Treatment,2026-03-27,v2
U000356,onboarding_v2,Treatment,2026-01-23,v2
U000357,onboarding_v2,Control,2026-03-07,v1
U000358,onboarding_v2,Control,2026-01-27,v1
U000359,onboarding_v2,Treatment,2026-01-02,v2
U000360,onboarding_v2,Control,2026-03-31,v1
U000361,onboarding_v2,Control,2026-01-17,v1
U000362,onboarding_v2,Control,2026-02-02,v1
U000363,onboarding_v2,Treatment,2026-01-09,v2
U000364,onboarding_v2,Treatment,2026-02-12,v2
U000365,onboarding_v2,Treatment,2026-02-17,v2
U000366,onboarding_v2,Treatment,2026-02-08,v2
U000367,onboarding_v2,Control,2026-02-11,v1
U000368,onboarding_v2,Treatment,2026-01-26,v2
U000369,onboarding_v2,Control,2026-02-19,v1
U000370,onboarding_v2,Treatment,2026-01-25,v2
U000371,onboarding_v2,Control,2026-01-24,v1
U000372,onboarding_v2,Treatment,2026-01-13,v2
U000373,onboarding_v2,Treatment,2026-03-01,v2
U000374,onboarding_v2,Treatment,2026-01-07,v2
U000375,onboarding_v2,Control,2026-02-26,v1
U000376,onboarding_v2,Control,2026-02-05,v1
U000377,onboarding_v2,Treatment,2026-02-14,v2
U000378,onboarding_v2,Control,2026-01-20,v1
U000379,onboarding_v2,Control,2026-03-06,v1
U000380,onboarding_v2,Treatment,2026-01-08,v2
U000381,onboarding_v2,Control,2026-01-16,v1
U000382,onboarding_v2,Treatment,2026-01-14,v2
U000383,onboarding_v2,Treatment,2026-03-17,v2
U000384,onboarding_v2,Control,2026-03-28,v1
U000385,onboarding_v2,Control,2026-01-15,v1
U000386,onboarding_v2,Treatment,2026-03-07,v2
U000387,onboarding_v2,Treatment,2026-02-01,v2
U000388,onboarding_v2,Control,2026-03-28,v1
U000389,onboarding_v2,Treatment,2026-03-04,v2
U000390,onboarding_v2,Control,2026-03-27,v1
U000391,onboarding_v2,Control,2026-02-20,v1
U000392,onboarding_v2,Control,2026-01-25,v1
U000393,onboarding_v2,Treatment,2026-02-27,v2
U000394,onboarding_v2,Control,2026-03-04,v1
U000395,onboarding_v2,Control,2026-03-03,v1
U000396,onboarding_v2,Control,2026-01-22,v1
U000397,onboarding_v2,Control,2026-02-27,v1
U000398,onboarding_v2,Treatment,2026-02-27,v2
U000399,onboarding_v2,Control,2026-03-27,v1
U000400,onboarding_v2,Control,2026-02-18,v1
U000401,onboarding_v2,Treatment,2026-02-21,v2
U000402,onboarding_v2,Treatment,2026-02-11,v2
U000403,onboarding_v2,Control,2026-03-11,v1
U000404,onboarding_v2,Treatment,2026-01-15,v2
U000405,onboarding_v2,Control,2026-02-23,v1
U000406,onboarding_v2,Treatment,2026-03-01,v2
U000407,onboarding_v2,Control,2026-01-08,v1
U000408,onboarding_v2,Treatment,2026-02-22,v2
U000409,onboarding_v2,Control,2026-03-01,v1
U000410,onboarding_v2,Treatment,2026-01-05,v2
U000411,onboarding_v2,Control,2026-03-09,v1
U000412,onboarding_v2,Treatment,2026-01-06,v2
U000413,onboarding_v2,Control,2026-02-16,v1
U000414,onboarding_v2,Control,2026-02-24,v1
U000415,onboarding_v2,Treatment,2026-02-09,v2
U000416,onboarding_v2,Control,2026-02-21,v1
U000417,onboarding_v2,Treatment,2026-01-16,v2
U000418,onboarding_v2,Control,2026-01-13,v1
U000419,onboarding_v2,Treatment,2026-01-30,v2
U000420,onboarding_v2,Treatment,2026-01-19,v2
U000421,onboarding_v2,Treatment,2026-01-17,v2
U000422,onboarding_v2,Treatment,2026-03-04,v2
U000423,onboarding_v2,Treatment,2026-01-19,v2
U000424,onboarding_v2,Treatment,2026-02-27,v2
U000425,onboarding_v2,Control,2026-02-24,v1
U000426,onboarding_v2,Control,2026-03-31,v1
U000427,onboarding_v2,Treatment,2026-03-31,v2
U000428,onboarding_v2,Control,2026-03-03,v1
U000429,onboarding_v2,Treatment,2026-01-23,v2
U000430,onboarding_v2,Control,2026-01-09,v1
U000431,onboarding_v2,Treatment,2026-01-12,v2
U000432,onboarding_v2,Treatment,2026-01-01,v2
U000433,onboarding_v2,Control,2026-02-27,v1
U000434,onboarding_v2,Control,2026-01-01,v1
U000435,onboarding_v2,Control,2026-02-03,v1
U000436,onboarding_v2,Control,2026-02-18,v1
U000437,onboarding_v2,Treatment,2026-03-30,v2
U000438,onboarding_v2,Treatment,2026-01-01,v2
U000439,onboarding_v2,Treatment,2026-01-16,v2
U000440,onboarding_v2,Control,2026-03-02,v1
U000441,onboarding_v2,Control,2026-03-05,v1
U000442,onboarding_v2,Control,2026-03-04,v1
U000443,onboarding_v2,Control,2026-03-10,v1
U000444,onboarding_v2,Control,2026-01-22,v1
U000445,onboarding_v2,Control,2026-03-08,v1
U000446,onboarding_v2,Treatment,2026-03-17,v2
U000447,onboarding_v2,Treatment,2026-01-26,v2
U000448,onboarding_v2,Control,2026-01-16,v1
U000449,onboarding_v2,Treatment,2026-02-20,v2
U000450,onboarding_v2,Treatment,2026-03-27,v2
U000451,onboarding_v2,Treatment,2026-02-26,v2
U000452,onboarding_v2,Treatment,2026-01-29,v2
U000453,onboarding_v2,Treatment,2026-03-19,v2
U000454,onboarding_v2,Control,2026-03-10,v1
U000455,onboarding_v2,Treatment,2026-02-16,v2
U000456,onboarding_v2,Treatment,2026-03-03,v2
U000457,onboarding_v2,Control,2026-03-10,v1
U000458,onboarding_v2,Control,2026-03-17,v1
U000459,onboarding_v2,Treatment,2026-01-16,v2
U000460,onboarding_v2,Treatment,2026-03-31,v2
U000461,onboarding_v2,Control,2026-03-31,v1
U000462,onboarding_v2,Treatment,2026-02-17,v2
U000463,onboarding_v2,Control,2026-03-26,v1
U000464,onboarding_v2,Control,2026-02-08,v1
U000465,onboarding_v2,Treatment,2026-02-02,v2
U000466,onboarding_v2,Control,2026-01-23,v1
U000467,onboarding_v2,Control,2026-01-10,v1
U000468,onboarding_v2,Control,2026-03-10,v1
U000469,onboarding_v2,Treatment,2026-02-03,v2
U000470,onboarding_v2,Treatment,2026-02-21,v2
U000471,onboarding_v2,Treatment,2026-01-10,v2
U000472,onboarding_v2,Treatment,2026-01-19,v2
U000473,onboarding_v2,Treatment,2026-02-27,v2
U000474,onboarding_v2,Treatment,2026-01-01,v2
U000475,onboarding_v2,Treatment,2026-03-10,v2
U000476,onboarding_v2,Treatment,2026-01-04,v2
U000477,onboarding_v2,Control,2026-01-16,v1
U000478,onboarding_v2,Control,2026-01-24,v1
U000479,onboarding_v2,Treatment,2026-03-21,v2
U000480,onboarding_v2,Control,2026-01-02,v1
U000481,onboarding_v2,Treatment,2026-02-01,v2
U000482,onboarding_v2,Treatment,2026-03-25,v2
U000483,onboarding_v2,Treatment,2026-01-24,v2
U000484,onboarding_v2,Treatment,2026-01-12,v2
U000485,onboarding_v2,Control,2026-02-19,v1
U000486,onboarding_v2,Treatment,2026-02-04,v2
U000487,onboarding_v2,Control,2026-02-02,v1
U000488,onboarding_v2,Treatment,2026-02-02,v2
U000489,onboarding_v2,Control,2026-03-02,v1
U000490,onboarding_v2,Control,2026-02-20,v1
U000491,onboarding_v2,Control,2026-02-12,v1
U000492,onboarding_v2,Control,2026-01-12,v1
U000493,onboarding_v2,Treatment,2026-03-08,v2
U000494,onboarding_v2,Control,2026-03-06,v1
U000495,onboarding_v2,Treatment,2026-02-02,v2
U000496,onboarding_v2,Treatment,2026-02-09,v2
U000497,onboarding_v2,Treatment,2026-03-15,v2
U000498,onboarding_v2,Treatment,2026-02-12,v2
U000499,onboarding_v2,Control,2026-02-13,v1
U000500,onboarding_v2,Treatment,2026-01-29,v2
U000501,onboarding_v2,Control,2026-01-13,v1
U000502,onboarding_v2,Control,2026-01-12,v1
U000503,onboarding_v2,Control,2026-02-15,v1
U000504,onboarding_v2,Treatment,2026-01-02,v2
U000505,onboarding_v2,Control,2026-02-04,v1
U000506,onboarding_v2,Treatment,2026-03-28,v2
U000507,onboarding_v2,Control,2026-03-22,v1
U000508,onboarding_v2,Control,2026-03-31,v1
U000509,onboarding_v2,Control,2026-01-08,v1
U000510,onboarding_v2,Control,2026-01-26,v1
U000511,onboarding_v2,Control,2026-03-15,v1
U000512,onboarding_v2,Treatment,2026-03-31,v2
U000513,onboarding_v2,Control,2026-02-03,v1
U000514,onboarding_v2,Control,2026-01-07,v1
U000515,onboarding_v2,Treatment,2026-03-09,v2
U000516,onboarding_v2,Control,2026-02-27,v1
U000517,onboarding_v2,Control,2026-03-16,v1
U000518,onboarding_v2,Treatment,2026-01-29,v2
U000519,onboarding_v2,Control,2026-02-05,v1
U000520,onboarding_v2,Treatment,2026-03-30,v2
U000521,onboarding_v2,Control,2026-01-21,v1
U000522,onboarding_v2,Treatment,2026-02-05,v2
U000523,onboarding_v2,Control,2026-01-10,v1
U000524,onboarding_v2,Control,2026-03-14,v1
U000525,onboarding_v2,Control,2026-01-24,v1
U000526,onboarding_v2,Control,2026-03-05,v1
U000527,onboarding_v2,Control,2026-02-18,v1
U000528,onboarding_v2,Control,2026-02-05,v1
U000529,onboarding_v2,Treatment,2026-03-23,v2
U000530,onboarding_v2,Control,2026-01-24,v1
U000531,onboarding_v2,Control,2026-01-23,v1
U000532,onboarding_v2,Treatment,2026-03-03,v2
U000533,onboarding_v2,Treatment,2026-02-06,v2
U000534,onboarding_v2,Treatment,2026-01-12,v2
U000535,onboarding_v2,Treatment,2026-02-24,v2
U000536,onboarding_v2,Treatment,2026-01-13,v2
